run_id,componente,fecha,lenguaje_principal,archivos,loc_efectivas,funciones,ccn_promedio,ccn_p90,duplicacion_pct,deps_directas_prod,deps_directas_dev,cobertura_tests_propios_pct,cloc_version,lizard_version,jscpd_version,notas
pre-piloto-a,backend,2026-08-24,TypeScript,30,6533,412,1.96,4,2.22,5,2,NA,2.10,1.23.0,5.0.11,"excluidos ademas: web,mobile"
pre-piloto-a,web,2026-08-24,TypeScript,22,1922,183,2.12,5,2.62,3,10,NA,2.10,1.23.0,5.0.11,""
pre-piloto-a,mobile,2026-08-24,TypeScript,33,3575,394,1.65,3,1.67,10,8,NA,2.10,1.23.0,5.0.11,""
